gene_callers_id	source	accession	function	e_value
2868	KeggGhostKoala	K00012	 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0
3466	KeggGhostKoala	K00012	 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0
3819	KeggGhostKoala	K00012	 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0
2548	KeggGhostKoala	K00013	 hisD; histidinol dehydrogenase [EC:1.1.1.23]	0
2702	KeggGhostKoala	K00014	 aroE; shikimate dehydrogenase [EC:1.1.1.25]	0
680	KeggGhostKoala	K00018	 hprA; glycerate dehydrogenase [EC:1.1.1.29]	0
1095	KeggGhostKoala	K00024	 mdh; malate dehydrogenase [EC:1.1.1.37]	0
3260	KeggGhostKoala	K00024	 mdh; malate dehydrogenase [EC:1.1.1.37]	0
3248	KeggGhostKoala	K00029	 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	0
1049	KeggGhostKoala	K00031	 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	0
3734	KeggGhostKoala	K00033	 PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	0
3735	KeggGhostKoala	K00036	 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	0
3954	KeggGhostKoala	K00041	 uxaB; tagaturonate reductase [EC:1.1.1.58]	0
1728	KeggGhostKoala	K00046		0
1893	KeggGhostKoala	K00048	 fucO; lactaldehyde reductase [EC:1.1.1.77]	0
2320	KeggGhostKoala	K00052	 leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	0
2716	KeggGhostKoala	K00053	 ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	0
486	KeggGhostKoala	K00057	 gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	0
2934	KeggGhostKoala	K00058	 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0
1619	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
3417	KeggGhostKoala	K00059	 fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	0
280	KeggGhostKoala	K00067	 rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	0
2595	KeggGhostKoala	K00067	 rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	0
4324	KeggGhostKoala	K00075	 murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	0
